,sentence_id,token_id,semiotic,before,after
0,1,0,PLAIN,Áfram,Áfram
1,1,1,PLAIN,hélt,hélt
2,1,2,PLAIN,fjörið,fjörið
3,1,3,PLAIN,í,í
4,1,4,PLAIN,síðari,síðari
5,1,5,PLAIN,hálfleik,hálfleik
6,1,6,PLAIN,og,og
7,1,7,PLAIN,þegar,þegar
8,1,8,ORDINAL,3.,þriðji
9,1,9,PLAIN,leikhluti,leikhluti
10,1,10,PLAIN,var,var
11,1,11,PLAIN,tæplega,tæplega
12,1,12,PLAIN,hálfnaður,hálfnaður
13,1,13,PLAIN,var,var
14,1,14,PLAIN,staðan,staðan
15,1,15,SPORT,64-52,sextíu og fjögur fimmtíu og tvö
16,1,16,PUNCT,.,.
500,28,0,PLAIN,Birna,Birna
501,28,1,PLAIN,hélt,hélt
502,28,2,PLAIN,gulum,gulum
503,28,3,PLAIN,við,við
504,28,4,PLAIN,efnið,efnið
505,28,5,PLAIN,og,og
506,28,6,PLAIN,Fjölnir,Fjölnir
507,28,7,PLAIN,leiddi,leiddi
508,28,8,SPORT,58-48,fimmtíu og átta fjörutíu og átta
509,28,9,PLAIN,fyrir,fyrir
510,28,10,ORDINAL,fjórða,4.
511,28,11,PLAIN,og,og
512,28,12,PLAIN,síðasta,síðasta
513,28,13,PLAIN,leikhluta,leikhluta
514,28,14,PUNCT,.,.
587,33,0,SPORT,2-0,tvö núll
588,33,1,PLAIN,Arnór,Arnór
589,33,2,PLAIN,Ingvi,Ingvi
590,33,3,PLAIN,Traustason,Traustason
591,33,4,ORDINAL,57.,fimmtugustu og sjöundu
592,33,5,ABBR,mín,mínútu
593,33,6,PUNCT,.,.
1163,66,0,PLAIN,Lokatölur,Lokatölur
1164,66,1,PLAIN,urðu,urðu
1165,66,2,SPORT,70-68,sjötíu sextíu og átta
1166,66,3,PLAIN,Njarðvík,Njarðvík
1167,66,4,PLAIN,í,í
1168,66,5,PLAIN,vil,vil
1169,66,6,PUNCT,.,.
1430,83,0,PLAIN,Við,Við
1431,83,1,PLAIN,komum,komum
1432,83,2,PLAIN,til,til
1433,83,3,PLAIN,leiks,leiks
1434,83,4,PLAIN,til,til
1435,83,5,PLAIN,að,að
1436,83,6,PLAIN,spila,spila
1437,83,7,PLAIN,fótbolta,fótbolta
1438,83,8,PLAIN,en,en
1439,83,9,PLAIN,Valsmenn,Valsmenn
1440,83,10,PLAIN,komu,komu
1441,83,11,PLAIN,í,í
1442,83,12,PLAIN,öðrum,öðrum
1443,83,13,PLAIN,tilgangi,tilgangi
1444,83,14,PLAIN,og,og
1445,83,15,PLAIN,léku,léku
1446,83,16,PLAIN,gríðarlega,gríðarlega
1447,83,17,PLAIN,grófan,grófan
1448,83,18,PLAIN,leik,leik
1449,83,19,PLAIN,og,og
1450,83,20,PLAIN,þegar,þegar
1451,83,21,PLAIN,við,við
1452,83,22,PLAIN,sáum,sáum
1453,83,23,PLAIN,fram,fram
1454,83,24,PLAIN,á,á
1455,83,25,PLAIN,að,að
1456,83,26,PLAIN,þurfa,þurfa
1457,83,27,PLAIN,að,að
1458,83,28,PLAIN,svara,svara
1459,83,29,PLAIN,með,með
1460,83,30,PLAIN,svipuðum,svipuðum
1461,83,31,PLAIN,leik,leik
1462,83,32,PLAIN,fengu,fengu
1463,83,33,PLAIN,við,við
1464,83,34,PLAIN,að,að
1465,83,35,PLAIN,kenna,kenna
1466,83,36,PLAIN,á,á
1467,83,37,PLAIN,því,því
1468,83,38,PLAIN,hjá,hjá
1469,83,39,PLAIN,þeim,þeim
1470,83,40,PLAIN,svartklæddu,svartklæddu
1471,83,41,PUNCT,",",","
1472,83,42,PUNCT,“,“
1473,83,43,PLAIN,sagði,sagði
1474,83,44,PLAIN,Keflvíkingurinn,Keflvíkingurinn
1475,83,45,PLAIN,Guðmundur,Guðmundur
1476,83,46,PLAIN,Steinarsson,Steinarsson
1477,83,47,PLAIN,eftir,eftir
1478,83,48,SPORT,0-4,núll fjögur
1479,83,49,PLAIN,tap,tap
1480,83,50,PLAIN,gegn,gegn
1481,83,51,PLAIN,Valsmönnum,Valsmönnum
1482,83,52,PLAIN,í,í
1483,83,53,PLAIN,Pepsi-deildinni,Pepsi-deildinni
1484,83,54,PLAIN,í,í
1485,83,55,PLAIN,knattspyrnu,knattspyrnu
1486,83,56,PLAIN,í,í
1487,83,57,PLAIN,kvöld,kvöld
1488,83,58,PUNCT,.,.
1954,104,0,PLAIN,Grindavík,Grindavík
1955,104,1,PLAIN,sigraði,sigraði
1956,104,2,PLAIN,Njarðvík,Njarðvík
1957,104,3,PLAIN,í,í
1958,104,4,PLAIN,úrslitaleiknum,úrslitaleiknum
1959,104,5,SPORT,77-66,sjötíu og sjö sextíu og sex
1960,104,6,PLAIN,í,í
1961,104,7,PLAIN,kaflaskiptum,kaflaskiptum
1962,104,8,PLAIN,leik,leik
1963,104,9,PUNCT,.,.
4961,251,0,PLAIN,Njarðvík,Njarðvík
4962,251,1,PUNCT,:,:
4963,251,2,PLAIN,Lele,Lele
4964,251,3,PLAIN,Hardy,Hardy
4965,251,4,SPORT,35/16,þrjátíu og fimm <sil> sextán
4966,251,5,PLAIN,fráköst,fráköst
4967,251,6,PUNCT,",",","
4968,251,7,PLAIN,Svava,Svava
4969,251,8,PLAIN,Ósk,Ósk
4970,251,9,PLAIN,Stefánsdóttir,Stefánsdóttir
4971,251,10,SPORT,7/6,sjö <sil> sex
4972,251,11,PLAIN,fráköst,fráköst
4973,251,12,PUNCT,",",","
4974,251,13,PLAIN,Ásdís,Ásdís
4975,251,14,PLAIN,Vala,Vala
4976,251,15,PLAIN,Freysdóttir,Freysdóttir
4977,251,16,CARDINAL,6,sex
4978,251,17,PUNCT,",",","
4979,251,18,PLAIN,Sara,Sara
4980,251,19,PLAIN,Dögg,Dögg
4981,251,20,PLAIN,Margeirsdóttir,Margeirsdóttir
4982,251,21,CARDINAL,3,þrjú
4983,251,22,PUNCT,",",","
4984,251,23,PLAIN,Soffía,Soffía
4985,251,24,PLAIN,Rún,Rún
4986,251,25,PLAIN,Skúladóttir,Skúladóttir
4987,251,26,CARDINAL,2,tvö
4988,251,27,PUNCT,",",","
4989,251,28,PLAIN,Guðlaug,Guðlaug
4990,251,29,PLAIN,Björt,Björt
4991,251,30,PLAIN,Júlíusdóttir,Júlíusdóttir
4992,251,31,CARDINAL,2,tvö
4993,251,32,PUNCT,",",","
4994,251,33,PLAIN,Heiða,Heiða
4995,251,34,LETTERS,B.,B
4996,251,35,PLAIN,Valdimarsdóttir,Valdimarsdóttir
4997,251,36,CARDINAL,2,tvö
4998,251,37,PUNCT,",",","
4999,251,38,PLAIN,Salbjörg,Salbjörg
5000,251,39,PLAIN,Sævarsdóttir,Sævarsdóttir
5001,251,40,SPORT,2/6,tvö <sil> sex
5002,251,41,PLAIN,varin,varin
5003,251,42,PLAIN,skot,skot
5004,251,43,PUNCT,",",","
5005,251,44,PLAIN,Emelía,Emelía
5006,251,45,PLAIN,Ósk,Ósk
5007,251,46,PLAIN,Grétarsdóttir,Grétarsdóttir
